id	Chinese	English	Japanese	Korean
49010071	<color=#72f0ff><size=32>7</size></color>日目标	<color=#72f0ff><size=32>7</size></color>-Day\nGoal	<color=#72f0ff><size=32>7</size></color>日目標	<color=#72f0ff><size=32>7일</size></color>퀘스트
49010072	<color=#FF4C2F><size=32>武</size></color>圣降临			<color=#FF4C2F><size=32>무성</size></color>강림
49010073	<color=#ffa200><size=32>极</size></color>限突破			<color=#ffa200><size=32>한계</size></color>돌파
49010074	<color=#ffe92b><size=32>旅</size></color>行商人	<color=#ffe92b><size=32>T</size></color>raveling\nMerchant	<color=#ffe92b><size=32>旅</size></color>商人	<color=#ffe92b><size=32>여행</size></color>상인
49010087	<color=#ffa200><size=32>新</size></color>服热卖			
49010075	<color=#FF4C2F><size=32>限</size></color>时礼包	<color=#FF4C2F><size=32>L</size></color>imited\ntime Pack	期間<color=#FF4C2F><size=32>限定</size></color>パック	<color=#FF4C2F><size=32>기한</size></color>패키지
49010076	<color=#ffa200><size=32>公</size></color>会战			<color=#ffa200><size=32>길드</size></color>전
49010077	<color=#ffe92b><size=32>锦</size></color>标赛			<color=#ffe92b><size=32>챔피언</size></color>십
49010078	<color=#FF4C2F><size=32>九</size></color>境巅峰			<color=#FF4C2F><size=32>챔피언</size></color>리그
49010079	<color=#ffa200><size=32>梦</size></color>魇入侵			<color=#ffa200><size=32>악몽</size></color>침입
49010082	<color=#ffe92b><size=32>混</size></color>乱之治			
49010080	<color=#ffa200><size=32>调</size></color>查问卷			<color=#ffa200><size=32>설문</size></color>조사
49010081	<color=#ffa200><size=32>开</size></color>服有礼			<color=#ffa200><size=32>예약</size></color>선물
50010003	登录<color=#FFD12B><size=36><b>1</b></size></color>次			<color=#FFD12B><size=36><b>1</b></size></color>회 접속
50010004	赠送好友友情<color=#FFD12B><size=36><b>5</b></size></color>次			우정 포인트 <color=#FFD12B><size=36><b>5</b></size></color>회 보내기
50010005	进行<color=#FFD12B><size=36><b>5</b></size></color>次英雄招募			영웅 모집 <color=#FFD12B><size=36><b>5</b></size></color>회 진행
50010006	参与<color=#FFD12B><size=36><b>10</b></size></color>次物资收集			자원 수집 <color=#FFD12B><size=36><b>10</b></size></color>회 참여
50010007	接取<color=#FFD12B><size=36><b>5</b></size></color>次探索任务			탐색 미션 <color=#FFD12B><size=36><b>5</b></size></color>회 받기
50010008	快速训练<color=#FFD12B><size=36><b>8</b></size></color>次			신속훈련 <color=#FFD12B><size=36><b>8</b></size></color>회 진행
50010009	地下竞技场挑战<color=#FFD12B><size=36><b>10</b></size></color>次			투기장 <color=#FFD12B><size=36><b>10</b></size></color>회 도전
50010010	挑战公会副本<color=#FFD12B><size=36><b>5</b></size></color>次			길드 던전 <color=#FFD12B><size=36><b>5</b></size></color>회 도전
50010011	进行<color=#FFD12B><size=36><b>1</b></size></color>次公会捐献			길드 기부 <color=#FFD12B><size=36><b>1</b></size></color>회 진행
50010012	成功挑战或扫荡神之塔<color=#FFD12B><size=36><b>5</b></size></color>次			신의 탑 <color=#FFD12B><size=36><b>5</b></size></color>회 승리 혹은 소탕
50010013	遗忘之城胜利<color=#FFD12B><size=36><b>3</b></size></color>次			탐색전 <I><b><size=46><color=#FFD12B>3</color></size></b></I> 회 승리
50010014	进行<color=#FFD12B><size=36><b>5</b></size></color>次赞助			보급 <color=#FFD12B><size=36><b>5</b></size></color>회 진행
50010015	消耗<color=#FFD12B><size=36><b>100</b></size></color>万金钱			골드 <color=#FFD12B><size=36><b>100만</b></size></color> 사용
50010016	进行<color=#FFD12B><size=36><b>5</b></size></color>次轮盘			룰렛 <color=#FFD12B><size=36><b>5</b></size></color>회 진행
50010017	进行<color=#FFD12B><size=36><b>1</b></size></color>次任意内容充值			결제 <color=#FFD12B><size=36><b>1</b></size></color>회 진행
50010018	获得<color=#FFD12B><size=36><b>600</b></size></color>点活跃度			활약도 <color=#FFD12B><size=36><b>600</b></size></color>점 획득
50010019	累计消耗<color=#FFD12B><size=36><b>1000</b></size></color>万金钱			골드 <color=#FFD12B><size=36><b>1000</b></size></color>만 사용
50010020	消耗<color=#FFD12B><size=36><b>500</b></size></color>万英雄经验			영웅 경험치 <color=#FFD12B><size=36><b>500</b></size></color>만 사용
50010021	获得<color=#FFD12B><size=36><b>5</b></size></color>名<color=#FFD12B><size=36><b>5</b></size></color>星英雄			<color=#FFD12B><size=36><b>5</b></size></color>성 영웅 <color=#FFD12B><size=36><b>5</b></size></color>명 획득
50010022	进行幸运轮盘<color=#FFD12B><size=36><b>100</b></size></color>次			룰렛 <color=#FFD12B><size=36><b>100</b></size></color>회 진행
50010023	接取<color=#FFD12B><size=36><b>2</b></size></color>次红色探索任务			레드 마스터 탐색 미션 <color=#FFD12B><size=36><b>2</b></size></color>회 받기
50010024	在地下竞技场中连胜<color=#FFD12B><size=36><b>20</b></size></color>次			투기장 <color=#FFD12B><size=36><b>20</b></size></color>연승 하기
50010025	锦标赛晋级<color=#FFD12B><size=36><b>32</b></size></color>强			챔피언십 <color=#FFD12B><size=36><b>32</b></size></color>강 진입
50010026	获得<color=#FFD12B><size=36><b>1</b></size></color>名<color=#FFD12B><size=36><b>6</b></size></color>星英雄			<color=#FFD12B><size=36><b>6</b></size></color>성 영웅 <color=#FFD12B><size=36><b>1</b></size></color>명 획득
50010027	消耗<color=#FFD12B><size=36><b>3000</b></size></color>钻石			다이아 <color=#FFD12B><size=36><b>3000</b></size></color> 사용
50010028	合成<color=#FFD12B><size=36><b>100</b></size></color>次英雄装备			영웅 장비 <color=#FFD12B><size=36><b>100</b></size></color>회 합성
50010029	完成<color=#FFD12B><size=36><b>300</b></size></color>次探索			탐색 <color=#FFD12B><size=36><b>300</b></size></color>회 완료
50010030	接取<color=#FFD12B><size=36><b>15</b></size></color>次红色探索任务			레드 마스터 탐색 미션 <color=#FFD12B><size=36><b>15</b></size></color>회 받기
50010031	消耗<color=#FFD12B><size=36><b>8000</b></size></color>万英雄经验			영웅 경험치 <color=#FFD12B><size=36><b>8000</b></size></color>만 사용
50010032	获得<color=#FFD12B><size=36><b>1</b></size></color>名<color=#FFD12B><size=36><b>9</b></size></color>星英雄			<color=#FFD12B><size=36><b>9</b></size></color>성 영웅 <color=#FFD12B><size=36><b>1</b></size></color>명 획득
50010033	进行幸运轮盘<color=#FFD12B><size=36><b>500</b></size></color>次			룰렛 <color=#FFD12B><size=36><b>500</b></size></color>회 진행
50010034	地下竞技场胜利<color=#FFD12B><size=36><b>400</b></size></color>场			투기장 <color=#FFD12B><size=36><b>400</b></size></color>회 승리
50010035	地下竞技场胜利<color=#FFD12B><size=36><b>500</b></size></color>场			투기장 <color=#FFD12B><size=36><b>500</b></size></color>회 승리
50010036	遗忘之城胜利<color=#FFD12B><size=36><b>100</b></size></color>场			탐색전 <color=#FFD12B><size=36><b>100</b></size></color>회 승리
50010037	消耗<color=#FFD12B><size=36><b>20000</b></size></color>钻石			다이아 <color=#FFD12B><size=36><b>20000</b></size></color> 사용
90010002	已过期	Expired	期間切れ	 만료
90010003	普通	Normal	ノーマル	일반
90010004	稀有	Rare	レア	레어
90010005	传说	Legendary	伝説	전설
90010006	不能一键回收	Cannot Quick Recall.	一括解散不可	일괄 해산 불가
90010007	一键回收会将全部1至3星英雄进行快捷回收，但是每个阵营的3星英雄将会各自保留10个不会被回收(3星英雄低于10个的阵营会全部保留，不会被一键回收)	Use Quick Recall to instantly recall all 1★ to 3★ heroes. Ten 3★ heroes of each faction will be retained (if there are less than ten heroes, all will be retained).	一括解散を行うと☆1から☆3の異能者が全て解散されますが、☆3異能者は各陣営10体まで保留されます(☆3異能者が10体未満の陣営は全て保留)。	일괄 해산 시 진영별 3성 영웅을 최대 10명 남기고 1~3성 영웅들을 모두 해산합니다.
90010008	文本待定	TBD		
90010009	文本待定	TBD		
90010010	文本待定	TBD		
90010011	文本待定	TBD		
90010012	没有芯片可卸下	There is no chip to unequip.	外せるチップがありません	제거할 수 있는 칩이 없습니다.
90010013	升阶成功	Ascension successful.	進化完了	승급되었습니다.
90010014	该芯片不可调教	This chip cannot be tuned.	このチップは調整できません	해당 칩을 교육할 수 없습니다.
90010015	该芯片不可合成	This chip cannot be crafted.	このチップは合成できません	해당 칩을 합성할 수 없습니다.
90010016	该芯片不可转化	This chip cannot be transformed.	このチップは転化できません	해당 칩을 전환할 수 없습니다.
90010017	没有芯片可卸下	There is no chip to unequip.	外せるチップがありません	제거할 수 있는 칩이 없습니다.
90010018	保存方案不能为空	You cannot save an empty plan.	プリセットを設置してください	저장 방안을 설정해주세요.
90010019	累计次数%s次	%s total times.	累計回数%s回	누적 %s 회
90010020	再抽%s次必出银质以上芯片	Draw %s more times to obtain a Silver Chip or higher.	あと%s回引くとシルバー以上のチップが出現します	%s 회 후 실버 등급 이상의 칩 확정
90010021	等级达到30级或VIP1解锁			플레이어 레벨 30 또는 VIP1 달성 시 해제
90010022	突破值	Breakthrough Value	突破値	돌파수치
90010023	初阶	Beginner	初級	초급
90010024	中阶	Intermediate	中級	중급
90010025	高阶	Advanced	上級	고급
90010026	购买5个栏位需要花费：%s钻石	Buying 5 slots will cost %s diamonds.	5個の枠購入：%sダイヤ	슬롯 +5 구매: %s 다이아
90010027	扩充成功，背包容量增加5	Inventory capacity expanded by 5 slots.	拡張完了、バッグ容量+5	영웅 슬롯이 5 증가했습니다.
90010028	钻石购买栏位数量已达到上限	You cannot purchase any more slots with diamonds.	ダイヤ購入枠が上限です	다이아로 구매 가능한 슬롯 수량 상한
90010029	已点赞	Already liked.	いいね済み	좋아요 완료
90010030	需要英雄星数	Required Hero Tier	必要な異能者☆数	필요한 영웅의 성급
90010031	是否花费<color=#FFD12B> %s </color>钻石补齐<color=#FFD12B> %s </color>张<color=#FFD12B>%s</color>进行招募			<color=#FFD12B>%s</color> 다이아를 사용해 <color=#FFD12B>%s</color> 회 진행합니다. 보유한 <color=#FFD12B>%s</color> 사용을 포함합니다.
90010032	确认花费<color=#FFD12B> %s </color>钻石探索10次			<color=#FFD12B> %s </color> 다이아를 사용하여 10회 탐색하시겠습니까?
90010033	梦魔入侵阵容	Demonic Invasion Lineup	ナイトメア襲来チーム	악몽침입 편성
90010034	异端之战阵容			쟁탈전 편성
90010035	迷雾之战阵容	Mist Battle Lineup	霧の合戦チーム	시가전 편성
90010036	当前已使用：	Currently Used:	使用済：	현재 사용됨:
90010037	先驱商城	Herald Store	パイオニアショップ	선구 상점
90010038	限时打折，超值珍品！	Super value treasures at a limited-time discount!	期間限定セール、超お得な品揃え！	기간 한정 할인, 대박 상품!
90010039	完成挑战，获得丰富礼品！	Complete the challenge to earn amazing rewards!	挑戦をクリアして豪華なプレゼントを獲得しよう！	도전을 완료하여, 풍성한 선물 획득!
90010040	未解锁	Not Unlocked	未解放	해제되지 않음.
90010041	文本待定	TBD		
90010042	文本待定	TBD		
90010043	文本待定	TBD		
90010044	剩余购买次数:	Remaining Purchases:	残り購入回数:	남은 구매:
90010045	此英雄已在%s中，需要下阵此英雄才可进行此操作	This hero is already in %s. Remove the hero from battle to perform this action.	この異能者は%sに出陣しています。操作には異能者を外す必要があります	해당 영웅이 %s에 있습니다. 제거 후 다시 진행하세요.
90010046	每个编队至少要保留1名英雄上阵	Each formation must have at least 1 deployed hero.	編成チームごとに1体以上の異能者が必要です	편성 당 최소 1명의 영웅이 출전해야 합니다.
90010047	文本待定	TBD		
90010048	文本待定	TBD		
90010049	奖励翻倍！	Doubled rewards!	2倍報酬！	보상 2배!
90010050	触发事件%s	Trigger Event %s	イベント発生：%s	%s 사건 발생
90010051	恭喜获得：%s	Congratulations on obtaining %s.	%sを獲得しました。おめでとうございます！	%s 획득
90010052	掉落大量的金币和进化药剂	Drops a significant amount of evo drugs and gold.	コインと進化ポーションが大量ドロップ	골드와 에센스
90010053	掉落大量的英雄经验	Drops a significant amount of hero EXP.	異能者EXPが大量ドロップ	영웅 경험치
90010054	掉落大量的英雄材料	Drops a significant amount of hero materials.	異能者素材が大量ドロップ	영웅 조각
90010055	掉落大量的守护升级材料	Drops a significant amount of guardian materials.	ガーディアンレベルアップ素材が大量ドロップ	초강도 합금
90010056	掉落大量的戒圈	Drops a significant amount of cycles.	サイクルが大量ドロップ	링
90010057	每日凌晨5点重置	Resets every day at 05:00.	毎日05:00にリセット	매일 오전 5시 리셋
90010058	掉落各种材料	Drops a variety of materials.	各種素材がドロップ	각종 성장 재료 획득
90010059	全天开放	Open throughout the day.	24時間開放	상시 오픈
90010060	掉落升级突破材料	Drops limit break materials.	レベルアップ突破素材が大量ドロップ	레벨업 돌파 재료
90010061	每2日重置	Resets once every 2 days.	2日おきにリセット	2일마다 리셋
90010062	掉落战功	Drops merits.	戦功がドロップ	전공 획득 가능
90010063	全天开放	Open throughout the day.	24時間開放	상시 오픈
90010064	根据排名发放奖励	Rewards are distributed based on ranking.	ランキングにより報酬を配布	랭킹에 따라 보상 지급
90010065	每2日重置	Resets once every 2 days.	2日おきにリセット	2일마다 리셋
90010066	掉落各种材料	Drops a variety of materials.	各種素材がドロップ	각종 성장 재료 획득
90010067	机械系英雄额外造成50%伤害	Mechanos heroes inflict 50% bonus DMG.	機械タイプ異能者が50%の追加ダメージを与える	기계 영웅 대미지 50% 증가
90010068	体术系英雄额外造成50%伤害	Biolothia heroes inflict 50% bonus DMG.	体術タイプ異能者が50%の追加ダメージを与える	체술 영웅 대미지 50% 증가
90010069	魔法系英雄额外造成50%伤害	Arcanitar heroes inflict 50% bonus DMG.	魔法タイプ異能者が50%の追加ダメージを与える	마법 영웅 대미지 50% 증가
90010070	秩序系英雄额外造成50%伤害	Order heroes inflict 50% bonus DMG.	コスモスタイプ異能者が50%の追加ダメージを与える	질서 영웅 대미지 50% 증가
90010071	全天开放	Open throughout the day.	24時間開放	상시 오픈
90010072	可获得契约养成材料	May provide contract training materials.	サーヴァント育成素材を入手可能	계약 육성 재료 획득
90010073	全天开放	Open throughout the day.	24時間開放	상시 오픈
90010074	掉落各种养成材料	Drops a variety of growth materials.	各種育成素材がドロップ	각종 육성 재료 드롭
90010075	混沌系英雄额外造成50%伤害	Chaos heroes inflict 50% bonus DMG.	カオスタイプ異能者が50%の追加ダメージを与える	혼돈 영웅 대미지 50% 증가
90010076	每日重置	Resets once a day.	毎日リセット	매일 리셋
90010077	可获得大量英雄经验	May provide a large amount of hero EXP.	異能者EXPを大量獲得可能	대량의 영웅 경험치 획득 가능
90010078	每日重置	Resets once a day.	毎日リセット	매일 리셋
90010079	可获得遗忘积分和金钱	May provide forgotten credits and gold.	ロストポイントとゴールドを獲得可能	탐색 포인트 및 골드 획득
90010080	每日重置	Resets once a day.	毎日リセット	매일 리셋
90010081	争夺破碎王座，赢强力称号	Compete in Thronebreaker to earn titles of mighty power.	王座争奪戦で強力な称号をゲットしよう!	찬탈전 쟁탈, 강력 칭호 획득
90010082	每日8:00-22:00开启			매일 8:00-22:00 오픈
90010083	收集进度：	Collection Progress:	収集進捗：	수집 진행 상황:
90010084	VIP2专属	VIP2 Exclusive	VIP2専属	VIP2 전용
90010085	VIP2以上可购买	VIP2 or Above	VIP2以上で購入可能	VIP2 이상 구매 가능
90010086	玩家VIP等级达到 %s 级解锁或玩家等级达到 %s 级解锁	Unlock with VIP Level %s or Player Level %s.	VIP %s かトレーナーLv %s で解放	VIP %s 또는 플레이어 레벨 %s 달성 시 해제
90010087	急速招募	Quick Summon	クイック募集	급속 모집
90010088	每周六0点~周日23点开启	Open 00:00 - 23:00 every Saturday.	毎週土曜日0時~日曜日23時開放	매주 토요일 0시~일요일 23시 오픈
90010089	我的记录	My Log	あなたの記録	나의 기록
90010090	大神风采	Larger Than Life	ハイライト	명예의 전당
90010091	排名已发生改变，请刷新	The rankings have changed. Refresh the page.	ランキングが変化しました、更新してください	순위가 변경되었습니다. 갱신 해주세요.
90010092	排名提升至%s名	Ranked up to %s.	ランキングが%s位に上昇	%s위로 순위가 상승했습니다.
90010093	排名不变	No change in ranking.	ランキングに変化なし	순위 유지
90010094	排名降低至%s名	Ranked down to %s.	ランキングが%s位に低下	%s위로 순위가 떨어졌습니다.
90010095	防守	Defense	防衛	수비
90010096	进攻	Offense	進攻	공격
90010097	失败	Failed	失敗	실패
90010098	成功	Successful	成功	성공
90010099	今日已经给该玩家点过赞了	You have already sent this player a like today.	今日は既にいいねしました	오늘은 해당 플레이어에게 좋아요를 했습니다.
90010100	需要花费%s钻石购买次数	Will consume %s diamond purchases.	挑戦回数の購入にはダイヤが%s必要です	다이아 %s개를 사용해 횟수를 구매해야합니다.
90010101	暂时不能购买	Not available for purchase.	現在購入できません	현재 구매할 수 없습니다.
90010102	此阶段不能挑战	You cannot challenge this stage.	今の段階ではチャレンジできません	해당 단계에 도전할 수 없습니다.
90010103	第%s名	Rank %s	%s位	%s위
90010104	跨服竞技场防守阵容	Cross-Server Brawl Defense Lineup	クロスサーバー闘技場防衛チーム	서버투기장 수비 편성
90010105	防守阵容	Defense Lineup	防衛チーム	수비 편성
90010106	挑战	Challenge	挑戦	도전
90010107	竞技场前100名可挑战	Can be challenged by Brawl Top 100.	闘技場TOP100のみ挑戦可能	투기장 TOP 100에 드는 플레이어가 도전할 수 있습니다.
90010108	本次一键扫荡包含<color=#529764FF>%s次免费次数</color>和<color=#529764FF>%s次钻石扫荡</color>，共花费<color=#529764FF>%s</color>钻石，是否扫荡？	This Quick Blitz includes <color=#529764FF>%s Free Times</color> and <color=#529764FF>%s Diamond Blitzes</color>. The total cost is <color=#529764FF>%s</color> diamonds. Do you wish to proceed?	今回の一括スキップは<color=#529764FF>無料回数%s回</color>と<color=#529764FF>クイッククリア%s回(ダイヤ)</color>からなります。ダイヤを<color=#529764FF>%s</color>消費して一括スキップを行いますか？	<color=#529764FF>무료 %s회</color>와 <color=#529764FF>다이아 %s회</color>를 포함합니다. <color=#529764FF>%s</color> 다이아를 사용해 소탕하시겠습니까?
90010109	招募排行	Summon Rank	募集ランキング	모집 랭킹
90010110	招募次数	Summons	募集回数	모집 횟수
90010111	%d天%d小时	%dd %dh	%d日%d時間	%d일 %d시간
90010112	提示	Notice	通知	알림
90010113	您的正在攻占%s，是否进行退兵，开始攻占%s	You are currently attacking%s. Do you want to withdraw and attack %s?	あなたのは%sを攻略中です。撤退させて%sを攻略しますか？	현재 공격 대상: %s, 다른 공격 대상:  %s. 변경하시겠습니까?
90010114	花费	Spend	消費	소비
90010115	文本待定	TBD		
90010116	购买	Buy	購入	구매
90010117	第%s章	Chapter %s	チャプター%s	%s 챕터 
90010118	请前往布阵界面设置参战英雄！	Head to the Lineup Interface to configure your hero deployment.	編成画面で出陣する異能者を編成してください！	편성 화면에서 출전 영웅을 설정하세요!
90010119	通灵等级不足	Insufficient link level.	リンクレベル不足	통령 레벨 부족
90010120	文本待定	TBD		
90010121	语言更换为：%s，将重载游戏，是否继续？	Switching language to %s. This will reload the game. Continue?	言語を%sに変更すると、ゲームを再起動する必要があります。続けますか？	%s. 언어 변경 후 게임이 다시 시작됩니다. 계속 하시겠습니까?
90010122	终点奖励	Final Reward	終着点の報酬	최종 보상
90010123	返回战斗			전투 돌아가기
90010124	其他战斗进行中，无法开战			다른 전투가 진행 중이라서 전투를 시작할 수 없습니다.
90010125	下一关	Next Stage	次のステージ	다음 스테이지
90010126	获得：成长目标达到 			획득: 성장 목표 달성 
90010127	获得：<color=#49D773FF>战令目标</color>达到 			획득: <color=#49D773FF>전령 목표</color> 달성 
90010128	成长目标：%s/%s			성장 목표: %s/%s
90010201	剧情关卡，无法切出			시나리오 스테이지는 나갈 수 없습니다.
90010202	升至最高星可得：			최대 성급 달성 시 획득 가능:
90010203	现在激活即可得：			지금 활성화하면 획득하는 아이템:
90010204	全体生命+5000，全体攻击+800，全体先手+150，全体伤害+15%，全体伤害减免+15%，全体暴击+15%，全体抗暴+15%，全体暴伤+10%，全体暴伤抵抗+10%			전체 체력+5000, 전체 공격+800, 전체 선수+150, 전체 대미지+15%, 전체 대미지 감면+15%, 전체 치명타+15%, 전체 치명타 저항+15%, 전체 치명상+10%, 전체 치명상 저항+10%
90010205	6星战力：%s			6성 전투력: %s
90020001	挂机时长			훈련 시간
90020002	累计充值%s元享受以下特权			누적 %s원 결제 시 다음과 같은 특권을 획득합니다.
90020003	活动剩余时间：\n%s			남은 시간: \n%s
90020004	累计充值	Total Recharge	累計購入	누적보너스
90020005	每周宝箱  已挑战%s次			주간 보물 상자 %s 회 도전
90020006	当前赛季			현재 시즌
90020007	当前赛程			현재 일정
90020008	赔率			배당률
90020009	此过程需要消耗%s%s			%s%s를 소모합니다.
90020010	第%s关			스테이지 %s
90020011	当前进度	Current Progress	現在進捗	현재 진행 상황
90020012	获得%s星			%s성 획득
90020013	已完成%s			%s 완성
90020014	活动时间：\n			이벤트 시간: \n
90020015	可回收英雄：%s名			해산 가능: %s명
90020016	成功率：%s			성공률: %s
90020017	芯片	Chip	チップ	칩
90020018	%s件激活(%s星)	%s Set Activation (%s★)	%sセット効果解放(☆%s)	%s개 활성화(%s성)
90020019	升%s级			%s레벨 상승
90020020	核心英雄			핵심 영웅
90020021	推荐战术			추천 전술
90020022	当前英雄			현재 영웅
90020023	名称	Name	名称	명칭
90020024	会长	Guild Leader	ギルドマスター	길드장
90020025	等级	Level	レベル	레벨
90020026	经验	EXP	EXP	경험치
90020027	成员	Member	メンバー	길드원
90020028	职位	Position	職位	직위
90020029	贡献	Contribution	貢献	공헌
90020030	今日贡献			오늘 공헌
90020031	活跃等级	Activity Level	アクティブレベル	활약 레벨
90020032	在线			접속
90020033	每个道具限购%s次			아이템당 %s회 제한
54010001	当前在线人数过多，请稍等哦	There are too many players online at the moment. Please try again later!	オンラインユーザーが多いため、もう暫くお待ちください	현재 사용자가 많아 접속이 원활하지 않습니다. 잠시만 기다려 주세요.
54010002	系统错误			시스템 오류
54010003	重复登陆			중복 로그인
54010004	踢用户下线			다른 기기에서 로그인되어 로그아웃되었습니다.
54010005	服务器开了个小差，请稍后再试	The server is currently offline. Please try again later!	通信エラーが発生しました、少し経ってからお試し下さい	서버가 원활하지 않습니다. 잠시 후 다시 시도해주세요.
54010006	服务器紧急修复中	The server is undergoing emergency maintenance.	緊急メンテナンス中	긴급 점검 중
54010007	该名字已被使用	This name is already in use.	ユーザー名が既に存在しています	이미 사용 중인 이름입니다.
54010008	名字长度为2-6个字	Your name must be between 2-6 characters in length.	2～6文字のユーザー名を入力してください	길이 2-6byte
54010009	登录密码错误	The password was incorrect.	パスワードが間違っています	비밀번호를 잘못 입력했습니다.
54010010	该用户名已被注册	This username is already in use.	このユーザー名は登録済みです	이미 가입된 사용자 이름입니다.
54010011	该用户不存在	This user does not exist.	このユーザーは存在しません	존재하지 않는 사용자입니다
54010012	提示#背包已满	Notice#Your inventory is full.	通知＃バッグが満タンです	알림#가방이 꽉 찼습니다.
54010013	道具不足	Not enough items.	アイテムが足りません	아이템 부족
54010014	需购买改名卡	Requires a rename permit.	名称変更カードを購入してください	이름 변경 카드를 구매해주세요.
54010015	研发中心满级	The R&D Center has reached max level.	開発センターがレベル上限に達しました	개발센터가 최대 레벨입니다.
54010016	已经达到当前最大等级	The max level has been reached.	既にレベル上限に達しています	최대 레벨입니다.
54010017	玩家等级不足	Insufficient player level.	トレーナーレベルが足りません	플레이어 레벨 부족합니다.
54010018	活动未开启	This event is not active.	イベントは開催されていません	아직 오픈되지 않은 이벤트입니다.
54010019	地下竞技场刷新对手冷却时间中	The Brawl Dungeon Refresh function is currently in cooldown.	地下闘技場の対戦相手の更新はクールダウン中です	갱신 쿨타임 중입니다
54010020	战斗异常！	An exception occurred during battle!	戦闘エラー！	전투 상태 이상!
54010021	尚未加入公会	You haven't joined a guild.	ギルドに加入していません	가입한 길드가 없습니다!
54010022	对方不是您的好友	This user is not on your friend list.	相手はフレンドではありません	해당 플레이어가 당신의 친구가 아닙니다.
54010023	召唤次数不足	Insufficient Summons	募集回数が足りません	소환 횟수가 부족합니다.
54010024	跳过战斗功能尚未解锁	The Skip Battle function has not been unlocked.	戦闘スキップ機能は解放されていません	스킵 기능이 아직 해제되지 않았습니다.
54010025	废弃	Deprecated	破棄	
54010026	兑换码无效	The redemption code is invalid.	交換コードが間違っています	유효하지 않은 코드입니다.
54010027	兑换码已使用	This redemption code has already been used.	交換コードは使用済みです	이미 사용된 코드입니다.
54010028	已达兑换上限	The redemption limit has been reached.	交換回数が上限に達しました	교환 횟수가 상한에 도달했습니다.
54010029	兑换人数过多，请稍后重试	Too many users are trying to redeem this item. Please try again later!	交換人数が多いため、少し経ってからお試しください	교환 인원이 너무 많으니, 잠시 후에 다시 시도해주세요.
54010030	公会名字不能为空	The guild name cannot be empty.	ギルド名を入力してください	길드 이름을 작성해주세요.
54010031	公会不存在	This guild does not exist.	ギルドは存在しません	길드가 존재하지 않습니다.
54010032	您已加入过公会	You're already part of a guild.	ギルドに加入済みです	길드에 가입된 상태입니다.
54010033	已达当前申请上线	You've reached the application limit.	申請回数が上限に達しました	현재 최대 신청 수에 도달했습니다.
54010034	该公会限制条件已修改,请刷新页面	The requirement of this guild has been modified. Please refresh the page.	このギルドの加入条件が変更されました、更新してください	길드 조건이 수정되었습니다. 페이지를 갱신 해주세요.
54010035	当前公会被申请已达上限	This guild has too many unprocessed applications.	このギルドは申請受付回数が上限に達しました	해당 길드 신청 요청 횟수가 상한에 도달했습니다.
54010036	申请条件不符	You do not meet the requirements of this guild.	申請条件を満たしていません	신청 조건 미달입니다.
54010037	申请人数过多，请稍后重试	Too many users are trying to apply right now. Please try again later!	申請人数が多いため、少し経ってからお試しください	신청 인원이 너무 많습니다. 잠시 후 다시 시도해주세요.
54010038	未加入公会	You aren't part of this guild.	ギルドに加入していません	길드 가입하지 않았습니다.
54010039	无操作权限	Insufficient permissions.	操作権限が足りません	권한이 없습니다.
54010040	公会战期间不允许加入成员	Guilds cannot accept new members while participating in a Guild Battle.	ギルド戦期間中はメンバー加入が不可能です	길드전 기간에 길드원 신규 가입이 불가능합니다.
54010041	公会成员剩余名额不足	Not enough guild members remaining.	ギルドメンバー数が上限に達しました	길드 인원이 만원입니다.
54010042	部分成员已经加入其他公会	One of these users has joined another guild.	一部のメンバーは既に他のギルドに加入しています	일부 길드원은 다른 길드에 가입되었습니다.
54010043	该成员已经加入其他公会	This user has joined another guild.	このメンバーは既に他のギルドに加入しています	해당 길드원이 다른 길드에 가입되었습니다.
54010044	公会人数已满	The guild is full.	ギルドメンバー数が上限に達しました	길드가 만원입니다.
54010045	不可以操作自己	You cannot target yourself with this action.	自分は操作不可能です	본인을 조작할 수 없습니다.
54010046	公会战期间不允许踢出成员	Guilds cannot kick members out while participating in a Guild Battle.	ギルド戦期間中はメンバーを追放できません	길드전 기간 내 길드원을 추방할 수 없습니다.
54010047	该成员已被踢出	This user has been kicked out.	メンバーが追放されました	해당 멤버가 추방되었습니다.
54010048	公会战期间不允许任命	You cannot appoint members to new positions while participating in a Guild Battle.	ギルド戦期間中は任命不可能です	길드전 기간에 위임할 수 없습니다.
54010049	官员人数已达上限	The Officer limit has been reached.	ギルドリーダー数が上限に達しました	현재 관리직이 만원입니다.
54010050	公会战期间不允许解散公会	You cannot disband the guild while participating in a Guild Battle.	ギルド戦期間中はギルドを解散できません	길드전 기간에 길드 해산이 불가능합니다.
54010051	含有敏感字或特殊字符			금지어가 포함됩니다.
54010052	会长不能退出公会	You cannot leave the guild while serving as Guild Leader.	ギルドマスターはギルドを脱退できません	길드장은 길드에서 탈퇴할 수 없습니다.
54010053	请先领取特权每日奖励	You must claim your VIP daily reward first.	先に特権デイリーボーナスを受け取ってください	특권 일일 보상을 먼저 수령해주세요.
54010054	无该头像框	This avatar frame does not exist.	このアイコン枠を所持していません	해당 테두리가 없습니다.
